strain	date
MN908947.3	2019-12-15
22MM071532/BA.2.12.1/2022-06-21/Local_case	2022-06-21
22MM072209/BA.2.12.1/2022-06-22/Local_case	2022-06-22
22MM082273/BA.2.12.1/2022-07-09/Local_case/TKP/E1/PCA/WLK	2022-07-09
22MM561104/BA.2.12.1/-/Local_case/TMH/D4/INTERN/CCF	2022-07-22
22V0723888/BA.2.12.1/2022-08-02/Local_case/SH/SH-NEATS-STAFF/CHEUNG_SIU_TAI	2022-08-02
hCoV-19/HongKong/CM22000870/2022	2022-04-21
hCoV-19/HongKong/CM22000753/2022	2022-04-12
hCoV-19/HongKong/CM22000752/2022	2022-04-12
hCoV-19/HongKong/HK-HKPU-PUU037273948/2022	2022-05-09
hCoV-19/HongKong/HK-HKPU-PUU037335455/2022	2022-05-07
hCoV-19/HongKong/HK-HKPU-PUU005716895/2022	2022-05-05
hCoV-19/HongKong/HK-HKPU-PUU037407707/2022	2022-05-09
hCoV-19/HongKong/HK-HKPU-PUU037421874/2022	2022-05-08
hCoV-19/HongKong/HK-HKPU-PUU037191283/2022	2022-05-08
hCoV-19/HongKong/HK-HKPU-PUU037426191/2022	2022-05-08
hCoV-19/HongKong/HK-HKPU-PUU037247254/2022	2022-05-08
hCoV-19/HongKong/HK-HKPU-PUU037308148/2022	2022-05-08
hCoV-19/HongKong/HK-HKPU-PUU037194908/2022	2022-05-08
hCoV-19/HongKong/HK-HKPU-PUU037307974/2022	2022-05-08
hCoV-19/HongKong/HK-HKPU-PUU037206566/2022	2022-05-07
hCoV-19/HongKong/HK-HKPU-PUU002240741/2022	2022-05-05
hCoV-19/HongKong/HK-HKPU-PUU010578837/2022	2022-05-03
hCoV-19/HongKong/HK-HKPU-PUU010688101/2022	2022-05-01
hCoV-19/HongKong/HK-HKPU-PUU004836331/2022	2022-04-30
hCoV-19/HongKong/CM22000989/2022	2022-05-01
hCoV-19/HongKong/CM22000970/2022	2022-04-30
hCoV-19/HongKong/CM22001035/2022	2022-05-04
hCoV-19/HongKong/CM22001050/2022	2022-05-05
hCoV-19/HongKong/CM22001055/2022	2022-05-05
hCoV-19/HongKong/CM22001077/2022	2022-05-07
hCoV-19/HongKong/VZ22093963/2022	2022-05-19
hCoV-19/HongKong/VZ22096558/2022	2022-06-05
hCoV-19/HongKong/CM22001363/2022	2022-05-19
hCoV-19/HongKong/CM22001359/2022	2022-05-19
hCoV-19/HongKong/CM22001350/2022	2022-05-18
hCoV-19/HongKong/CM22001340/2022	2022-05-18
hCoV-19/HongKong/CM22001338/2022	2022-05-18
hCoV-19/HongKong/CM22001336/2022	2022-05-18
hCoV-19/HongKong/CM22001335/2022	2022-05-18
hCoV-19/HongKong/CM22001326/2022	2022-05-17
hCoV-19/HongKong/CM22001324/2022	2022-05-17
hCoV-19/HongKong/CM22001323/2022	2022-05-17
hCoV-19/HongKong/CM22001322/2022	2022-05-17
hCoV-19/HongKong/CM22001321/2022	2022-05-18
hCoV-19/HongKong/CM22001320/2022	2022-05-17
hCoV-19/HongKong/CM22001319/2022	2022-05-17
hCoV-19/HongKong/CM22001312/2022	2022-05-17
hCoV-19/HongKong/CM22001305/2022	2022-05-16
hCoV-19/HongKong/CM22001293/2022	2022-05-16
hCoV-19/HongKong/CM22001289/2022	2022-05-16
hCoV-19/HongKong/CM22001286/2022	2022-05-16
hCoV-19/HongKong/HK-HKPU-PUU03734733A/2022	2022-05-10
hCoV-19/HongKong/CM22001268/2022	2022-05-15
hCoV-19/HongKong/CM22001264/2022	2022-05-15
hCoV-19/HongKong/CM22001260/2022	2022-05-15
hCoV-19/HongKong/CM22001257/2022	2022-05-15
hCoV-19/HongKong/CM22001254/2022	2022-05-15
hCoV-19/HongKong/CM22001252/2022	2022-05-15
hCoV-19/HongKong/CM22001250/2022	2022-05-15
hCoV-19/HongKong/CM22001249/2022	2022-05-15
hCoV-19/HongKong/CM22001220/2022	2022-05-13
hCoV-19/HongKong/CM22001205/2022	2022-05-11
hCoV-19/HongKong/CM22001177/2022	2022-05-12
hCoV-19/HongKong/CM22001170/2022	2022-05-12
hCoV-19/HongKong/VZ22138408/2022	2022-07-14
hCoV-19/HongKong/HK-HKPU-PU22MC868253/2022	2022-05-30
hCoV-19/HongKong/HK-HKPU-PUH093600779/2022	2022-06-13
hCoV-19/HongKong/HK-HKPU-PUH088424143/2022	2022-06-08
hCoV-19/HongKong/HK-HKPU-PUH094872411/2022	2022-06-04
hCoV-19/HongKong/HK-HKPU-PUH095258628/2022	2022-06-03
hCoV-19/HongKong/HK-HKPU-PUU039457566/2022	2022-06-08
hCoV-19/HongKong/HK-HKPU-PUU039654515/2022	2022-06-06
hCoV-19/HongKong/HK-HKPU-PUU039592099/2022	2022-06-03
hCoV-19/HongKong/HK-HKPU-PUU039650153/2022	2022-06-03
hCoV-19/HongKong/HK-HKPU-PUU039578177/2022	2022-06-02
hCoV-19/HongKong/HK-HKPU-PUU039611530/2022	2022-06-02
hCoV-19/HongKong/HK-HKPU-PUU039472409/2022	2022-06-01
hCoV-19/HongKong/HK-HKPU-PUU039445592/2022	2022-05-31
hCoV-19/HongKong/HK-HKPU-PUU039484342/2022	2022-05-31
hCoV-19/HongKong/HK-HKPU-PUU039517003/2022	2022-05-31
hCoV-19/HongKong/HK-HKPU-PUU039487767/2022	2022-05-31
hCoV-19/HongKong/HK-HKPU-PUU038132574/2022	2022-05-30
hCoV-19/HongKong/HK-HKPU-PUU03844214A/2022	2022-05-29
hCoV-19/HongKong/HK-HKPU-PUU038000465/2022	2022-05-29
hCoV-19/HongKong/HK-HKPU-PUU03844326A/2022	2022-05-29
hCoV-19/HongKong/HK-HKPU-PUU038016663/2022	2022-05-29
hCoV-19/HongKong/HK-HKPU-PUU038162724/2022	2022-05-26
hCoV-19/HongKong/HK-HKPU-PUH039338492/2022	2022-05-31
hCoV-19/HongKong/HK-HKPU-PUH095127043/2022	2022-05-31
hCoV-19/HongKong/HK-HKPU-PUU03821984A/2022	2022-05-26
hCoV-19/HongKong/HK-HKPU-PUU038009306/2022	2022-05-26
hCoV-19/HongKong/HK-HKPU-PUH03933263A/2022	2022-05-21
hCoV-19/HongKong/HK-HKPU-PUU039725374/2022	2022-06-01
hCoV-19/HongKong/HK-HKPU-PUU039816043/2022	2022-06-01
hCoV-19/HongKong/HK-HKPU-PUU039760420/2022	2022-06-02
hCoV-19/HongKong/HK-HKPU-PUU03973358A/2022	2022-06-06
hCoV-19/HongKong/HK-HKPU-PUU039416908/2022	2022-06-06
hCoV-19/HongKong/HK-HKPU-PUN385165075/2022	2022-06-03
hCoV-19/HongKong/HK-HKPU-PUU039377171/2022	2022-06-08
hCoV-19/HongKong/HK-HKPU-PUH09360698A/2022	2022-06-10
hCoV-19/HongKong/HK-HKPU-PUH093597964/2022	2022-06-13
hCoV-19/HongKong/HK-HKPU-PUH099582551/2022	2022-06-04
hCoV-19/HongKong/HK-HKPU-PUH099595610/2022	2022-06-04
hCoV-19/HongKong/HK-HKPU-PUU038286148/2022	2022-06-04
hCoV-19/HongKong/HK-HKPU-PUU039538752/2022	2022-06-04
hCoV-19/HongKong/VK22174611/2022	2022-06-24
hCoV-19/HongKong/VK22171864/2022	2022-06-21
hCoV-19/HongKong/VK22170982/2022	2022-06-20
hCoV-19/HongKong/CH22115472/2022	2022-06-18
hCoV-19/HongKong/CM22002420/2022	2022-06-14
hCoV-19/HongKong/HKU-220712-006/2022	2022-05-30
hCoV-19/HongKong/HKU-220712-003/2022	2022-05-30
hCoV-19/HongKong/VK22165912/2022	2022-06-11
hCoV-19/HongKong/VZ22097307/2022	2022-06-07
hCoV-19/HongKong/VZ22097193/2022	2022-06-07
hCoV-19/HongKong/VK22166422/2022	2022-06-11
hCoV-19/HongKong/VK22165840/2022	2022-06-11
hCoV-19/HongKong/VK22165838/2022	2022-06-11
hCoV-19/HongKong/VK22165832/2022	2022-06-11
hCoV-19/HongKong/VK22165808/2022	2022-06-11
hCoV-19/HongKong/VK22165242/2022	2022-06-09
hCoV-19/HongKong/VK22164046/2022	2022-06-06
hCoV-19/HongKong/VK22163894/2022	2022-06-06
hCoV-19/HongKong/VK22163755/2022	2022-06-06
hCoV-19/HongKong/VK22163632/2022	2022-06-05
hCoV-19/HongKong/CM22001860/2022	2022-06-04
hCoV-19/HongKong/CM22001859/2022	2022-06-04
hCoV-19/HongKong/CM22001858/2022	2022-06-04
hCoV-19/HongKong/CM22001853/2022	2022-06-04
hCoV-19/HongKong/CM22001850/2022	2022-06-04
hCoV-19/HongKong/CM22001848/2022	2022-06-04
hCoV-19/HongKong/CM22001847/2022	2022-06-04
hCoV-19/HongKong/CM22001841/2022	2022-06-04
hCoV-19/HongKong/CM22001837/2022	2022-06-04
hCoV-19/HongKong/CM22001836/2022	2022-06-04
hCoV-19/HongKong/CM22001833/2022	2022-06-04
hCoV-19/HongKong/CM22001816/2022	2022-06-04
hCoV-19/HongKong/CM22001806/2022	2022-06-03
hCoV-19/HongKong/CM22001805/2022	2022-06-03
hCoV-19/HongKong/CM22001796/2022	2022-06-03
hCoV-19/HongKong/CM22001782/2022	2022-06-03
hCoV-19/HongKong/CM22001781/2022	2022-06-03
hCoV-19/HongKong/CM22001780/2022	2022-06-03
hCoV-19/HongKong/VZ22096675/2022	2022-06-05
hCoV-19/HongKong/VZ22096594/2022	2022-06-05
hCoV-19/HongKong/VZ22096367/2022	2022-06-04
hCoV-19/HongKong/VZ22096068/2022	2022-06-03
hCoV-19/HongKong/VZ22095847/2022	2022-06-02
hCoV-19/HongKong/VZ22095832/2022	2022-06-02
hCoV-19/HongKong/VZ22095758/2022	2022-06-02
hCoV-19/HongKong/VZ22095756/2022	2022-06-02
hCoV-19/HongKong/VZ22095625/2022	2022-06-01
hCoV-19/HongKong/VZ22095574/2022	2022-06-01
hCoV-19/HongKong/VZ22095557/2022	2022-06-01
hCoV-19/HongKong/VZ22095548/2022	2022-06-01
hCoV-19/HongKong/VZ22095512/2022	2022-06-01
hCoV-19/HongKong/VZ22095460/2022	2022-05-31
hCoV-19/HongKong/VK22163364/2022	2022-06-04
hCoV-19/HongKong/VK22163199/2022	2022-06-03
hCoV-19/HongKong/VK22163195/2022	2022-06-02
hCoV-19/HongKong/VK22163168/2022	2022-06-03
hCoV-19/HongKong/CM22001713/2022	2022-06-01
hCoV-19/HongKong/CM22001707/2022	2022-06-01
hCoV-19/HongKong/CM22001700/2022	2022-06-01
hCoV-19/HongKong/CM22001698/2022	2022-06-01
hCoV-19/HongKong/CM22001693/2022	2022-06-01
hCoV-19/HongKong/CM22001680/2022	2022-06-01
hCoV-19/HongKong/CM22001679/2022	2022-05-31
hCoV-19/HongKong/CM22001665/2022	2022-06-01
hCoV-19/HongKong/CM22001663/2022	2022-05-31
hCoV-19/HongKong/CM22001648/2022	2022-05-31
hCoV-19/HongKong/CM22001647/2022	2022-05-31
hCoV-19/HongKong/CM22001646/2022	2022-05-31
hCoV-19/HongKong/CM22001645/2022	2022-05-31
hCoV-19/HongKong/CM22001641/2022	2022-05-30
hCoV-19/HongKong/CM22001610/2022	2022-05-29
hCoV-19/HongKong/CM22001609/2022	2022-05-29
hCoV-19/HongKong/HK-HKPU-PU22TM715233/2022	2022-05-23
hCoV-19/HongKong/HK-HKPU-PUU037444823/2022	2022-05-22
hCoV-19/HongKong/HK-HKPU-PUU03803727A/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU037380914/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU038375833/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU038152605/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU038380527/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU038168765/2022	2022-05-23
hCoV-19/HongKong/HK-HKPU-PUU038407476/2022	2022-05-21
hCoV-19/HongKong/HK-HKPU-PUU038367059/2022	2022-05-20
hCoV-19/HongKong/HK-HKPU-PUU038133015/2022	2022-05-20
hCoV-19/HongKong/HK-HKPU-PUU03832841A/2022	2022-05-19
hCoV-19/HongKong/HK-HKPU-PUU037442456/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUU037412573/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUU037351787/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUU037414215/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUU038414456/2022	2022-05-17
hCoV-19/HongKong/HK-HKPU-PUU038414758/2022	2022-05-17
hCoV-19/HongKong/HK-HKPU-PUU037417974/2022	2022-05-16
hCoV-19/HongKong/HK-HKPU-PUU037411186/2022	2022-05-16
hCoV-19/HongKong/HK-HKPU-PUU037454217/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU037394192/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU037378278/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU037378529/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU03736501A/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU03723652A/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU037393978/2022	2022-05-15
hCoV-19/HongKong/HK-HKPU-PUU03728270A/2022	2022-05-12
hCoV-19/HongKong/VZ22093928/2022	2022-05-19
hCoV-19/HongKong/VZ22093907/2022	2022-05-18
hCoV-19/HongKong/HK-HKPU-PUN525990057/2022	2022-08-03
hCoV-19/HongKong/HK-HKPU-PUN520265583/2022	2022-07-30
hCoV-19/HongKong/HK-HKPU-PUN383891712/2022	2022-07-01
hCoV-19/HongKong/HK-HKPU-PUN504985534/2022	2022-06-29
hCoV-19/HongKong/HK-HKPU-PUU044562569/2022	2022-06-24
hCoV-19/HongKong/HK-HKPU-PUU040183601/2022	2022-06-23
hCoV-19/HongKong/HK-HKPU-PUU040599611/2022	2022-06-19
hCoV-19/HongKong/HK-HKPU-PUN384301498/2022	2022-06-20
hCoV-19/HongKong/HK-HKPU-PUN384983726/2022	2022-06-20
hCoV-19/HongKong/HK-HKPU-PU22TM716105/2022	2022-06-21
hCoV-19/HongKong/HK-HKPU-PU22TM331218/2022	2022-06-20
hCoV-19/HongKong/HK-HKPU-PU22MB340941/2022	2022-06-19
hCoV-19/HongKong/HK-HKPU-PU22MB340724/2022	2022-06-18
hCoV-19/HongKong/HK-HKPU-PU22MC869939/2022	2022-06-17
hCoV-19/HongKong/HK-HKPU-PU22MB340139/2022	2022-06-16
hCoV-19/HongKong/HK-HKPU-PU22MB340080/2022	2022-06-16
